"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"2022.03",107.8,-8.3,105.0,107.1,16478.9,85.7,2762.8,1.24,107.6,114.4,108.9,9538.4,106.0,101.5,46477.6,26389.0,107.7,106.8,3.0,9342.1,27907.1,1.6
"2022.04",107.9,-10.0,105.0,102.5,15602.3,85.2,2708.6,1.49,107.5,113.4,110.0,9263.6,106.1,100.0,45613.2,26543.9,108.1,107.3,3.1,9346.7,28038.1,1.7
"2022.05",108.4,-10.2,105.4,103.1,15888.5,85.2,2676.7,1.64,107.8,112.8,111.7,9430.6,106.3,99.3,45202.4,26566.3,108.5,107.2,3.2,9447.1,28076.4,1.8
"2022.06",108.8,-13.4,105.1,104.0,16803.1,85.7,2602.2,1.82,108.0,112.2,112.9,9503.2,105.6,98.9,45393.2,26598.7,109.1,109.2,3.5,9411.7,28123.0,2.0
"2022.07",108.9,-15.1,102.4,107.2,17798.0,85.7,2488.7,1.65,108.5,111.9,113.5,9573.0,105.3,99.6,46295.0,26612.2,109.7,111.1,3.8,9562.5,28153.0,2.3
"2022.08",109.0,-14.9,99.9,111.0,17730.3,85.7,2439.1,1.43,109.0,111.1,114.1,9554.8,106.1,100.4,47936.0,26621.6,110.3,112.8,4.0,9792.4,28156.7,2.6
"2022.09",109.4,-10.2,98.4,113.4,17714.9,85.5,2392.1,1.26,109.2,109.2,114.8,9598.9,106.2,99.9,48942.9,26633.4,110.8,112.4,4.1,10087.0,28167.7,2.9
"2022.10",109.7,-6.2,97.6,116.4,14760.5,85.2,2347.9,1.26,109.4,106.8,115.2,9848.4,106.8,99.0,49383.7,26647.0,111.3,111.9,4.2,10087.6,28173.9,3.4
"2022.11",109.7,-7.5,94.9,116.9,13474.2,85.0,2327.3,1.20,108.9,105.0,115.0,9992.4,105.2,97.9,48857.7,26642.8,111.8,112.9,4.2,9815.4,28167.8,4.2
"2022.12",109.5,-10.4,92.7,116.6,10641.6,85.2,2336.4,0.84,108.4,102.5,115.4,10068.1,104.7,96.9,47519.5,26628.1,112.4,113.7,4.1,9591.3,28153.5,4.9
"2023.01",109.4,-15.4,90.9,110.9,13880.2,85.1,2380.4,0.45,108.2,101.7,115.3,10155.9,103.3,96.7,46853.0,26601.0,112.8,115.7,4.0,9580.1,28127.8,5.2
"2023.02",109.3,-16.2,91.1,107.4,14559.1,84.6,2391.3,0.18,108.7,100.3,116.4,10387.4,104.6,96.7,47082.3,26696.0,112.9,116.8,3.9,9586.4,28197.9,4.9
"2023.03",109.4,-16.5,91.1,102.9,13946.3,84.4,2410.1,0.07,109.5,101.6,116.7,10530.3,105.8,97.1,47187.7,26815.7,113.1,117.9,3.8,9668.3,28312.5,4.4
"2023.04",109.4,-16.8,92.3,101.3,10440.7,84.5,2463.7,-0.05,110.0,102.0,117.6,10542.9,106.6,96.4,47099.3,26928.9,113.4,120.1,3.9,9575.2,28420.3,4.1
"2023.05",109.8,-17.2,93.2,99.9,10466.3,85.3,2488.4,-0.15,110.3,104.4,117.1,10460.0,105.9,96.7,47767.2,26948.0,113.7,122.2,3.8,9376.7,28466.5,4.0
"2023.06",110.5,-13.0,94.6,99.0,11826.5,86.0,2548.9,-0.16,110.3,104.7,116.9,10449.7,105.5,96.8,47555.8,26946.1,113.9,122.2,3.6,9554.3,28465.4,4.0
"2023.07 p)",111.1,-9.6,94.7,99.3,12177.8,86.6,2572.6,-0.04,110.0,104.5,116.8,10415.1,104.9,97.0,46100.2,26930.2,113.8,120.5,3.3,9348.3,28447.9,4.0
"2023.08 p)",111.4,-7.9,94.6,98.4,9882.9,86.8,2585.1,0.12,110.0,105.0,117.5,10466.5,104.0,96.7,45627.8,26915.3,113.9,120.1,3.1,9248.5,28425.6,4.0
"2023.09 p)",111.8,-8.9,93.6,102.3,9059.3,86.4,2566.8,0.22,110.2,106.7,118.0,10686.2,102.9,96.8,44422.4,26915.0,114.0,121.3,3.0,8894.7,28428.7,4.0
